|name|rating|metascoe|votes|gross
0|1.Logan(2017)|8.1|77|634,540|$226.28M
1|2.Thor: Ragnarok(2017)|7.9|74|572,574|$315.06M
2|3.Guardians of the Galaxy Vol. 2(2017)|7.6|67|557,001|$389.81M
3|4.Star Wars: Episode VIII - The Last Jedi(2017)|7.0|84|552,826|$620.18M
4|5.Wonder Woman(2017)|7.4|76|540,860|$412.56M
5|6.Dunkirk(2017)|7.9|94|540,411|$188.37M
6|7.Spider-Man: Homecoming(2017)|7.4|73|500,073|$334.20M
7|8.Get Out(I) (2017)|7.7|85|479,984|$176.04M
8|9.It(I) (2017)|7.3|69|449,432|$327.48M
9|10.Blade Runner 2049(2017)|8.0|81|448,670|$92.05M
10|11.Baby Driver(2017)|7.6|86|428,371|$107.83M
11|12.Three Billboards Outside Ebbing, Missouri(2017)|8.2|88|418,497|$54.51M
12|13.Justice League(2017)|6.3|45|375,370|$229.02M
13|14.The Shape of Water(2017)|7.3|87|361,819|$63.86M
14|15.Coco(I) (2017)|8.4|81|361,773|$209.73M
15|16.John Wick: Chapter 2(2017)|7.5|75|356,698|$92.03M
16|17.Jumanji: Welcome to the Jungle(2017)|6.9|58|312,498|$404.52M
17|19.Beauty and the Beast(I) (2017)|7.1|65|268,020|$504.01M
18|20.Kingsman: The Golden Circle(2017)|6.7|44|267,000|$100.23M
19|21.Kong: Skull Island(2017)|6.6|62|264,164|$168.05M
20|23.Pirates of the Caribbean: Dead Men Tell No Tales(2017)|6.6|39|257,541|$172.56M
21|24.Alien: Covenant(2017)|6.4|65|250,490|$74.26M
22|26.Lady Bird(2017)|7.4|94|233,801|$48.96M
23|27.The Greatest Showman(2017)|7.6|48|230,683|$174.34M
24|28.War for the Planet of the Apes(2017)|7.4|82|224,174|$146.88M
25|29.Murder on the Orient Express(2017)|6.5|52|208,027|$102.83M
26|30.Life(I) (2017)|6.6|54|204,469|$30.23M
27|32.Call Me by Your Name(2017)|7.9|93|203,889|$18.10M
28|33.The Fate of the Furious(2017)|6.7|56|201,153|$226.01M
29|34.Wind River(2017)|7.7|73|197,878|$33.80M
30|35.Ghost in the Shell(2017)|6.3|52|192,903|$40.56M
31|36.King Arthur: Legend of the Sword(2017)|6.7|41|188,778|$39.18M
32|37.Mother!(2017)|6.6|75|187,325|$17.80M
33|38.The Hitman's Bodyguard(2017)|6.9|47|182,930|$75.47M
34|40.I, Tonya(2017)|7.5|77|176,499|$30.01M
35|42.Atomic Blonde(2017)|6.7|63|172,870|$51.69M
36|43.The Mummy(2017)|5.4|34|170,507|$80.10M
37|44.Darkest Hour(2017)|7.4|75|168,116|$56.47M
38|45.Bright(I) (2017)|6.3|29|166,137|
39|47.Valerian and the City of a Thousand Planets(2017)|6.5|51|159,327|$41.19M
40|48.Baywatch(2017)|5.5|37|157,802|$58.06M
41|49.American Made(2017)|7.2|65|155,372|$51.34M
