|name|rating|metascoe|votes|gross
0|253.Mom and Dad(2017)|5.5|59|20,099|
1|254.A Prayer Before Dawn(2017)|6.9|76|19,994|
2|255.iBoy(2017)|6.0|50|19,825|
3|256.The Little Hours(2017)|5.8|69|19,685|$1.65M
4|259.Marshall(2017)|7.2|66|19,484|$10.05M
5|262.The Breadwinner(2017)|7.7|78|19,361|$0.31M
6|263.Leatherface(2017)|5.0|40|19,244|
7|264.Sand Castle(2017)|6.3|45|18,882|
8|265.Creep 2(2017)|6.5|75|18,696|
9|266.Lucky(I) (2017)|7.3|80|18,630|$0.96M
10|268.Fullmetal Alchemist(2017)|5.2|48|18,494|
11|270.Super Dark Times(2017)|6.6|75|18,481|$0.03M
12|271.Song to Song(I) (2017)|5.7|54|18,397|$0.44M
13|273.Breathe(I) (2017)|7.1|51|18,321|$0.49M
14|274.Tulip Fever(2017)|6.2|38|18,099|$2.43M
15|275.The Current War(2017)|6.5|55|18,097|
16|276.Beyond Skyline(2017)|5.3|46|18,048|
17|277.Smurfs: The Lost Village(2017)|6.0|40|18,043|$45.02M
18|278.Wish Upon(2017)|5.0|32|18,031|$14.30M
19|280.The 12th Man(2017)|7.4|70|17,968|
20|281.6 Days(I) (2017)|6.2|36|17,892|
21|282.Father Figures(2017)|5.5|22|17,742|$17.50M
22|283.Loving Pablo(2017)|6.3|42|17,690|$0.02M
23|289.My Cousin Rachel(2017)|6.0|63|17,480|$2.68M
24|290.Crooked House(2017)|6.3|59|17,242|
25|292.Wheelman(2017)|6.4|66|17,106|
26|293.Once Upon a Time in Venice(2017)|5.3|28|17,087|
27|294.Unicorn Store(2017)|5.5|44|16,988|
28|297.Naked(I) (2017)|5.4|36|16,922|
29|298.The Party(I) (2017)|6.6|73|16,604|$0.75M
30|299.One Cut of the Dead(2017)|7.7|86|16,538|
31|300.Mayhem(2017)|6.4|62|16,359|
32|253.Mom and Dad(2017)|5.5|59|20,099|
33|254.A Prayer Before Dawn(2017)|6.9|76|19,994|
34|255.iBoy(2017)|6.0|50|19,825|
35|256.The Little Hours(2017)|5.8|69|19,685|$1.65M
36|259.Marshall(2017)|7.2|66|19,484|$10.05M
37|262.The Breadwinner(2017)|7.7|78|19,361|$0.31M
38|263.Leatherface(2017)|5.0|40|19,244|
39|264.Sand Castle(2017)|6.3|45|18,882|
40|265.Creep 2(2017)|6.5|75|18,696|
41|266.Lucky(I) (2017)|7.3|80|18,630|$0.96M
42|268.Fullmetal Alchemist(2017)|5.2|48|18,494|
43|270.Super Dark Times(2017)|6.6|75|18,481|$0.03M
44|271.Song to Song(I) (2017)|5.7|54|18,397|$0.44M
45|273.Breathe(I) (2017)|7.1|51|18,321|$0.49M
46|274.Tulip Fever(2017)|6.2|38|18,099|$2.43M
47|275.The Current War(2017)|6.5|55|18,097|
48|276.Beyond Skyline(2017)|5.3|46|18,048|
49|277.Smurfs: The Lost Village(2017)|6.0|40|18,043|$45.02M
50|278.Wish Upon(2017)|5.0|32|18,031|$14.30M
51|280.The 12th Man(2017)|7.4|70|17,968|
52|281.6 Days(I) (2017)|6.2|36|17,892|
53|282.Father Figures(2017)|5.5|22|17,742|$17.50M
54|283.Loving Pablo(2017)|6.3|42|17,690|$0.02M
55|289.My Cousin Rachel(2017)|6.0|63|17,480|$2.68M
56|290.Crooked House(2017)|6.3|59|17,242|
57|292.Wheelman(2017)|6.4|66|17,106|
58|293.Once Upon a Time in Venice(2017)|5.3|28|17,087|
59|294.Unicorn Store(2017)|5.5|44|16,988|
60|297.Naked(I) (2017)|5.4|36|16,922|
